protein_type,metric,vs,rho,p_value,n
RBP,n_families,neurons,0.5328552279778898,0.04083737743156079,15
RBP,n_families,genome_mb,0.32165643532065097,0.2423662176935206,15
RBP,n_families,cell_types,0.5845361558540366,0.022108149419313577,15
TF,n_families,neurons,0.4333448160031266,0.1066086841851799,15
TF,n_families,genome_mb,0.29659260502848883,0.28307637594737917,15
TF,n_families,cell_types,0.5462191800886486,0.03515075750113853,15
Kinase,n_families,neurons,0.4639783798325093,0.09468116172013802,14
Kinase,n_families,genome_mb,0.22190313572450832,0.44578713223595745,14
Kinase,n_families,cell_types,0.48435709828192175,0.07923684320690873,14
GPCR,n_families,neurons,0.6019780550603392,0.017575448277297925,15
GPCR,n_families,genome_mb,0.4072138190427606,0.13193877202753113,15
GPCR,n_families,cell_types,0.6430473526632309,0.009711386358767702,15
